year,disaster type,disaster subsubtype,occurrence,Total deaths,Affected,Injured,Homeless,Total affected,Total damage,disaster subtype
2007,Storm,Tornado,4,62,6600,140,200,6940,1080000,Riverine flood
2007,Storm,Winter storm/Blizzard,1,16,0,0,0,0,140000,--
2007,Wildfire,--,3,8,650000,64,927,650991,2815000,Convective storm
2008,Earthquake,--,1,0,2100,3,0,2103,0,Tropical cyclone
2008,Extreme temperature ,Snow/Ice,1,0,0,0,0,0,0,Forest fire
2008,Flood,--,4,44,11032500,148,0,11032648,10002000,"Land fire (Brush, Bush, Pastur"
2008,Storm,--,6,156,2300400,0,0,2300400,39540000,Ground movement
2008,Storm,Tornado,7,97,150,597,0,747,5860000,Severe winter conditions
2008,Storm,Winter storm/Blizzard,1,5,0,0,0,0,360000,Riverine flood
2008,Wildfire,--,2,1,55000,20,300,55320,2000000,Convective storm
2009,Extreme temperature ,--,1,58,0,0,0,0,1100000,Extra-tropical storm
2009,Flood,--,4,11,9000,60,900,9960,666000,Tropical cyclone
2009,Storm,--,2,9,0,9,0,9,600000,--
2009,Storm,Lightning,1,6,0,25,0,25,1500000,Forest fire
2009,Storm,Severe storm,2,7,0,0,0,0,1240000,Cold wave
2009,Storm,Tornado,4,33,750,124,0,874,7050000,Riverine flood
2009,Storm,Winter storm/Blizzard,1,19,0,0,0,0,0,Convective storm
2009,Wildfire,--,2,2,0,29,426,455,100000,Tropical cyclone
2010,Earthquake,--,1,0,600,30,0,630,12500,"Land fire (Brush, Bush, Pastur"
2010,Flood,--,3,20,1000,0,0,1000,0,Ground movement
2010,Storm,--,3,20,0,0,0,0,1600000,Riverine flood
2010,Storm,Lightning,1,20,0,100,0,100,0,Convective storm
2010,Storm,Severe storm,2,50,8000,0,0,8000,2350000,Tropical cyclone
2010,Storm,Tornado,3,25,2700,141,0,2841,2700000,Drought
2010,Storm,Winter storm/Blizzard,3,3,0,0,0,0,2500000,Heat wave
2011,Drought,--,1,0,0,0,0,0,8000000,Riverine flood
2011,Extreme temperature ,--,1,22,0,0,0,0,0,Convective storm
2011,Flood,--,4,17,25100,0,11000,36100,6600000,Tropical cyclone
2011,Storm,--,4,77,370600,0,0,370600,11550000,Forest fire
2011,Storm,Tornado,5,590,0,3593,15000,18593,27000000,"Land fire (Brush, Bush, Pastur"
2011,Storm,Winter storm/Blizzard,5,95,0,0,0,0,4900000,Drought
2011,Wildfire,--,3,8,0,5,6100,6105,1383000,Heat wave
2012,Drought,--,2,0,0,0,0,0,20000000,Riverine flood
2012,Extreme temperature ,--,1,123,0,0,0,0,0,Convective storm
2012,Flood,--,1,2,300,0,0,300,174000,Tropical cyclone
2012,Storm,--,3,64,77000,1,0,77001,52210000,--
2012,Storm,Lightning,6,7,9000,5,0,9005,7610000,Severe winter conditions
2012,Storm,Severe storm,2,29,0,100,0,100,8500000,Riverine flood
2012,Storm,Tornado,5,63,3300,330,267,3897,9025000,Convective storm
2012,Storm,Winter storm/Blizzard,3,27,0,1,0,1,150000,--
2012,Wildfire,--,2,3,1809,0,1038,2847,800000,Forest fire
2013,Extreme temperature ,Snow/Ice,1,19,0,0,0,0,0,Drought
2013,Flood,--,7,31,29325,0,5400,34725,2275000,Ground movement
2013,Storm,Lightning,2,4,0,0,0,0,1200000,Cold wave
2013,Storm,Severe storm,3,9,0,0,0,0,4900000,Flash flood
2013,Storm,Tornado,5,76,171089,903,600,172592,7100000,Riverine flood
2013,Storm,Winter storm/Blizzard,5,51,4800,82,0,4882,1400000,Landslide
2013,Wildfire,--,5,22,111,17,2247,2375,706400,Convective storm
2014,Drought,--,1,0,0,0,0,0,2200000,Tropical cyclone
2014,Earthquake,--,1,1,3000,250,0,3250,700000,Forest fire
2014,Extreme temperature ,--,1,21,0,0,0,0,2500000,Flash flood
2014,Flood,--,2,2,102000,0,0,102000,1690000,Convective storm
2014,Landslide,--,1,43,0,0,150,150,20000,
2014,Storm,--,1,1,834,0,0,834,66000,
2014,Storm,Lightning,4,4,300,36,0,336,5940000,
2014,Storm,Severe storm,1,40,0,15,0,15,2000000,
2014,Storm,Winter storm/Blizzard,7,91,0,0,30,30,1560000,
2014,Wildfire,--,1,2,429,0,0,429,100000,
2015,Flood,--,2,48,24000,0,0,24000,1000000,
2015,Storm,Tornado,4,13,0,69,0,69,2750000,
2015,Storm,Winter storm/Blizzard,5,82,0,0,0,0,775000,
