"","year","type","poke_type","casualty","cost"
"113",2010,"Land fire (Brush, Bush, Pastur","fire",630,12500
"114",2010,"Ground movement","ground",1020,0
"115",2010,"Riverine flood","water",20,1600000
"116",2010,"Convective storm","electric",120,0
"117",2010,"Tropical cyclone","flying",8050,2350000
"118",2010,"Drought","fire",2866,2700000
"119",2010,"Heat wave","fire",3,2500000
"120",2011,"Riverine flood","water",0,8000000
"121",2011,"Convective storm","electric",22,0
"122",2011,"Tropical cyclone","flying",25117,6600000
"123",2011,"Forest fire","fire",370677,11550000
"124",2011,"Land fire (Brush, Bush, Pastur","fire",4183,27000000
"125",2011,"Drought","fire",95,4900000
"126",2011,"Heat wave","fire",13,1383000
"127",2012,"Riverine flood","water",0,20000000
"128",2012,"Convective storm","electric",123,0
"129",2012,"Tropical cyclone","flying",302,174000
"130",2012,"Storm","flying",77065,52210000
"131",2012,"Severe winter conditions","ice",9012,7610000
"132",2012,"Riverine flood","water",129,8500000
"133",2012,"Convective storm","electric",3693,9025000
"134",2012,"Winter storm/Blizzard","ice",28,150000
"135",2012,"Forest fire","fire",1812,800000
"136",2013,"Drought","fire",19,0
"137",2013,"Ground movement","ground",29356,2275000
"138",2013,"Cold wave","ice",4,1200000
"139",2013,"Flash flood","water",9,4900000
"140",2013,"Riverine flood","water",172068,7100000
"141",2013,"Landslide","rock",4933,1400000
"142",2013,"Convective storm","electric",150,706400
"143",2014,"Tropical cyclone","flying",0,2200000
"144",2014,"Forest fire","fire",3251,700000
"145",2014,"Flash flood","water",21,2500000
"146",2014,"Convective storm","electric",102002,1690000
"147",2014,"Landslide","rock",43,20000
"148",2014,"Storm","flying",835,66000
"149",2014,"Lightning","electric",340,5940000
"150",2014,"Severe storm","dark",55,2000000
"151",2014,"Winter storm/Blizzard","ice",91,1560000
"152",2014,"Wildfire","fire",431,100000
"153",2015,"Flood","water",24048,1000000
"154",2015,"Tornado","flying",82,2750000
"155",2015,"Winter storm/Blizzard","ice",82,775000
